id,en,fr
VITORI DEFAULT,,"Mon pauvre ami ! Comment allez vous ? Je viens de vous voir sauvagemment agressé par ce malandrin ! Ce craquement terrifiant, était-ce le bruit de gourdin de ce misérable contre votre tête ?"
VITORI DEFAULT A1,,Que.. Comment ?
VITORI DEFAULT A2,,Ourgh.. mon crâne..
,,
VITORI D1,,"Et ce garde, qui reste là sans agir ! Ah ! Les voilà bien plus réactifs dès lors qu'il s'agit d'aller parader devant de jeunes godelurettes !"
VITORI D1 A1,,"Argh... par pitié, parlez moins fort !"
,,
VITORI D2,,"Oh, mille excuses ! Je m'emporte ! J'imagine qu'un homme de votre trempe a dû subir des coups plus terribles encore. Cependant, on peut dire que cette racaille ne vous a pas raté. Comment vous sentez vous, mon bon ami ?"
VITORI D2 A1,,"Bien, je crois.. Qui êtes vous ?"
VITORI D2 A2,,Diffile de croire que j'ai pu connaître pire... A qui ai-je l'honneur ?
,,
VITORI D3,,"Comment ça, qui suis-je ?! Je suis Valori, bien sûr ! Cepourrait-il que votre blessure ai pu vous faire perdre perdre la mémoire ? Vous souvenez vous au moins de votre nom ?"
VITORI D3 A1,$i,$i
,,
VITORI D4,,"A la bonne heure ! Allons, debout ! (Il aide %n à se lever) Ce n'est pas le soir pour chanceler, vous avez du pain sur la planche. J'ai vu le voleur s'enfuir avec un objet, que vous a t-il dérobé ?"
VITORI D4 A1,,Je... Je ne trouve plus ma dague.
VITORI D4 A2,,Ma poudre... Il a dû la confondre avec ma bourse.
VITORI D4 A3,,"Mon or, évidemment."
,,
VITORI D5,,"Fâcheux, mais l'essentiel est que vous alliez bien. La peste, je suis déjà en retard ! Vous me semblez bien pâle, tâchez de prendre un peu l'air avant de me rejoindre. Allons, courage mon ami ! N'oubliez pas que tout ce pays compte sur vous !"
VITORI D5 A1,..,..
,,
VITORI D6,,..
VITORI D6 A1,,"Mon crâne… la douleur est insupportable. La seule chose dont je parvienne à me souvenir, c’est qu’effectivement, une mission de la plus haute importance m’incombe ce soir… Mais tout m’échappe lorsque j’essaye de me remémorer comment et pourquoi. Bien, j’imagine qu’il n’y a pas de temps à perdre ! La mémoire me reviendra sûrement après une coupe ou deux."
,,
,,
GUARD DEFAULT,,"Bonsoir Messire, votre invitation je vous prie."
GUARD DEFAULT A1,,Invitation ?
GUARD DEFAULT UNIQUE A1,,Je n'en possède pas
,,
GUARD D1,,"C’est une réception privée, messire. Les invités doivent posséder une invitation pour passer ces portes."
GUARD D1 A1,,J'ai dû me faire voler la mienne il y a une minute de cela !
GUARD UNIQUE A2,,(mentant) Je n'en ai pas l'utilité. Vous me croyez assez stupide pour me présenter devant vous sans l'assurance de pouvoir rentrer ?
,,
GUARD D2,,"Je suis désolé Messire, mais les instructions du Duc sont très claires. Personne ne passe ces portes sans une invitation."
GUARD D2 A1,,"[BOURSE] Allons, je suis sûr que nous pourrions nous arranger autrement. (Agite devant le garde une petite bourse.)"
GUARD D2 A2,,"Mais vous étiez là, vous avez assisté à mon aggression !"
GUARD UNIQUE A3,,"Savez vous au moins qui je suis, pour oser me parler de la sorte ?"
GUARD D2 A4,,"[Vin Somnifère]Oui, oui, je sais. Cela vous empêche t-il pour autant de partager cette bouteille avec moi, entre pauvres ères mis à la porte ?"
,,
GUARD D3,,"C’est très généreux de votre part Messire. Merci… Mais sans invitation, je ne peux vous faire rentrer."
GUARD D3 A1,,"Je vois. C'est dommage, cette bourse vous aurait permis de vous offrir quelque bon temps."
GUARD D3 A2,,"Incroyable d'être borné à ce point. Bien, rendez moi ma bourse."
,,
GUARD D4,,"Je ne vois pas de quelle bourse vous voulez parler, Messire."
GUARD D4 A1,,Qu.. Comment ?! Mmh... Je vois.
,,
GUARD D5,,Je suis navré. Je ne peux rien pour vous.
GUARD D5 A1,,"C'est un scandale ! Nous n'en avons pas terminé, vous et moi."
GUARD D5 A2,,(pestant) Quel animal butté ! Laissez moi passer !
GUARD D5 A3,,"Je passe, que vous le vouliez ou non !"
,,
GUARD D6,,"Messire, ne m'obligez pas à user de force."
GUARD D6 A1,,J'aimerai voir ça ! (force le passage)
GUARD D6 A2,,Vous n'oserez pas ! (force le passage)
,,
GUARD D7,,(repousse sans mal PlayerName)
GUARD D7 A1,,La peste sur vous et votre famille !
GUARD D7 A2,,"Je rentrerai, que vous le vouliez ou non !"
,,
GUARD D8,,"Je l'ignore, mais sans invita..."
GUARD D8 A1,,"[Lettre Galante] (lui agite devant le nez une lettre) Je suis le Duc Lorenzo Da Costa, amant et confident de la maîtresse de maison, maintenant ôtez vous de mon chemin avant que je ne l'informe de votre incompétence !"
GUARD D8 A2,,"Je fais parti des musiciens, triple buse ! Vous m'avez vu rentrer il y a à peine une heure de cela !"
GUARD D8 A3,,"Je ne suis rien de moins que celui qui ait organisé cette réception. Maintenant, si vous permettez.."
,,
GUARD D9,,"Vous n'êtes pas le premier nobliau a tenter de rentrer dans la demeure du DUC. Maintenant déguerpissez, avant que je ne termine ce que ce voleur à la tire a commencé."
GUARD D9 A1,,Je n'ai pas dit mon dernier mot.
,,
GUARD D10,,"Je... veuillez m'excuser, un moment d'inattention, sûrement. Passez une excellente soirée."
GUARD D10 A1,,A la bonne heure !
,,
GUARD D11,,Vous ne devriez pas abuser de ma patien... bons dieux cette bouteille est plus vieille que moi !
GUARD D11 A1,,"Ahaha, alors à la votre !"
,,
GUARD D12,,Mmh... J'aurai cru qu'elle aurait... qu'elle aurait meilleur.. G... goût... (le garde s'effondre)
GUARD D12 A1,,Efficace. J'espère tout de même que cette poudre n'était qu'un simple somnifère.
,,
GUARD HAS GOLDPOUCH,,"Bonsoir Messire, votre invitation je vous prie."
GUARD HAS GOLDPOUCH A1,,Invitation ?
GUARD HAS GOLDPOUCH A2,,"Est ce vraiment ce que vous espériez devenir ? Un automate écervelé, à la solde du maître le plus offrant ?"
GUARD HAS GOLDPOUCH A3,,"Ecoutez moi bien, si vous ne me rendez pas mon dû dans la minute, vous vous exposez à de graves conséquences !"
,,
GUARD D13,,Que voulez-vous dire ?
,,"Ouvrez les yeux mon brave, votre vie vaut mieux que çela ! Cette bourse peut être l'occasion pour vous de vivre vos rêves, de combler votre famille !"
GUARD D13 A1,,[bouteille] Ce genre de conséquences ! (%n lui abbat la bouteille sur le crâne)
GUARD D13 A2,,"[Dague] (PlayerName se jete sur le garde et le poignarde) Je n'ai pas de temps à perdre ce soir, navré."
,,
GUARD D14,,"C'est vrai qu'avec cet argent, je pourrai enfin me payer Misty. C'est une nouvelle, à l'auberge des Mains Balladeuses…"
GUARD D14 A1,,"Qu... Oui, tout à fait ! Cela vaut bien une légère entorse au réglement, vous ne croyez pas ?"
GUARD D14 A2,,"Je connais Misty. Croyez moi mon brave, elle vaut jusqu'au moindre florin. Mais elle est souvent occupée... Vous feriez mieux de ne pas trainer !"
,,
GUARD D15,,"Mmh... Soit. Mais ne dites rien au capitaine. Ou je saurai vous retrouver en dehors du service, tout messire que vous êtes !"
GUARD D15 A1,,Comptez sur mon silence.
GUARD D15 A2,,"Evidemment. Inutile, je présume, de vous souhaiter une bonne soirée."
,,
GUARD D13-2,,Que voulez-vous dire ?
GUARD D13-2 A1,,"Ouvrez les yeux mon brave, votre vie vaut mieux que çela ! Cette bourse peut être l'occasion pour vous de vivre vos rêves, de combler votre famille !"
